Debut Year,Team,City,Ownership,Expansion Fee,Arena,Notes
2025,Golden State Valkyries,"San Francisco Bay Area, CA","Joe Lacob, Peter Guber, Warriors ownership",$50 million,Chase Center,13th franchise; most valuable team within a year
2026,Toronto Tempo,"Toronto, ON",Kilmer Sports Ventures (Larry Tanenbaum),$115 million,Coca-Cola Coliseum + 3 other venues,First WNBA team outside the U.S.
2026,Portland Fire,"Portland, OR",Bhathal family (RAJ Sports),$125 million,Moda Center,Revives Fire name from folded 2000-02 franchise
2027,Houston (relocated from CT Sun),"Houston, TX",Fertitta family (Rockets ownership),$300 million (purchase),Toyota Center (TBD),"Relocation, not new expansion; revives former Comets market"
2028,Cleveland (Rockers trademarked),"Cleveland, OH",Dan Gilbert (Cavaliers),$250 million,Rocket Arena,Revives 1997-2003 Cleveland Rockers market
2029,Detroit (Shock trademarked),"Detroit, MI",Tom Gores (Pistons),$250 million,Little Caesars Arena,Revives 1998-2009 Detroit Shock market
2030,Philadelphia (name pending),"Philadelphia, PA","Harris, Blitzer, Adelman, Roberts (76ers/HBSE + Comcast)",$250 million,New South Philadelphia arena,Philadelphia's first-ever WNBA franchise
